id,order_id,name,is_veg
40,1.16755E+11,Paneer Signature Rice Bowl (Mini),1
41,1.16755E+11,Hazelnut Brownie,1
42,1.1669E+11,American Cheese Supreme - Veg,1
43,1.1669E+11,Mcflurry Oreo Small,1
44,1.1669E+11,Snack box,0
45,1.1669E+11,McSpicy Paneer Burger,1
46,1.1669E+11,Fries (R),1
47,1.1669E+11,New Chocolate Chip Muffin,1
48,1.16667E+11,Palak Paneer Jumbo Lunchbox,1
49,1.16667E+11,Palak Paneer Bread Kulcha Lunchbox,1
50,1.16667E+11,Red Velvet Lava Cake,1
51,1.16667E+11,Aloo Paratha With Dal Makhani,1
52,1.14172E+11,Brownie,1
53,1.1151E+11,Baby Corn Manchurian,1
54,1.11332E+11,Aloo Sakh with Poori (3 Nos),1
55,1.11332E+11,Side Dish with Phulka Chapati (2 Nos),1
56,1.10902E+11,Gobi 65,1
57,1.09947E+11,Cheese Corn Nuggets,1
58,1.09947E+11,Veg Nuggets,1
59,1.09947E+11,Butter Masala Corn Sandwich,1
60,1.0952E+11,Super Saver Paneer Rice Bowl Meal,1
61,1.0952E+11,Hazelnut Brownie,1
62,1.07186E+11,Triple Chocolate Waffle,1
63,1.0701E+11,Brownie Hotfudge Ice Cream Jar,1
64,1.04678E+11,BBQ Cottage Sauce Pizza,1
65,1.04678E+11,Corn & Cheddar Quesadilla,1
66,1.04678E+11,Garlic Bread With Cheese,1
67,1.04594E+11,Eggless Red Velvet Jar,1
68,1.0399E+11,Oreo Brownie,2
69,1.0399E+11,Trio of Chocolate Jar,1
70,1.03899E+11,Gobi Manchurian,1
71,1.03899E+11,Cashew Pulao,1
72,1.03899E+11,Paneer Pulao,1
73,1.03899E+11,Phulka,1
74,1.0209E+11,Paneer 65 with Chilli Garlic Fried Rice,1
75,1.0209E+11,Classic Mac & Cheese,1
76,1.0157E+11,Butter Naan + Paneer Butter Masala + RoseMilk,1
77,1.0157E+11,Gobi 65 Dry,1
78,96303387993,Triple Chocolate Waffle,1
79,93259245959,Nawabi Paneer Lababdar with Matar Pulao,1
80,90174208184,Double Chocolate Mousse,1
81,88437200793,Everyday Value 2 Reg Classic Paneer Combo,1
82,88437200793,Cheesy Jalapeno Dip,1
83,86796819721,Chicken Schezwan Fried Rice,0
84,86796243798,Paneer & Onion,1
85,86796243798,Chicken Parcel,0
86,86796243798,Chicken Sausage,0
87,85503629718,Capsicum,1
88,85503629718,Golden Corn,1
89,85503629718,Farmhouse,1
90,85413036372,Nawabi Paneer Lababdar with Matar Pulao,1
91,85413036372,Triple Ripple Death by Chocolate,1
92,85413036372,Desi Dal Tadka with Jeera Rice,1
93,83594429748,Awadhi Paneer with Matar Pulao,1
94,66209518020,Paneer Butter Masala with Mattar Pulao,1
95,65256281802,Mutter Paneer & Paratha Lunchbox,1
96,65030558417,Strawberry (Baby),1
97,65030558417,Hazelnut (Baby),1
98,64919239494,Curd Rice,1
99,64919239494,Chocolate Milk Shake,1
100,64337605340,Garlic  Naan,1
101,64337605340,Butter Naan,1
102,64337605340,Paneer Pulao,1
103,64337605340,Gobi Masala,1
104,64337605340,Strawberry Milk Shake,1
105,63528835993,Good ol' Rajma Chawal,1
106,63528835993,Peri Peri Chicken with Egg Corn Rice,0
107,63528835993,Paneer Butter Masala with Mattar Pulao,1
108,61309491436,The Paneer Overload Fusion Box,1
109,60620307292,Kitkat Oreo Shake [300 ml],1
110,58604508507,Paneer Butter Masala with Matar Pulao + Choice of Dessert,1
111,57681625363,Oreo Chocolate Melt Jar,1
112,56817719676,Classic Mac & Cheese ,1
113,55425946120,Classic Mac & Cheese,1
114,54997774768,Classic Mac & Cheese,1
115,54997774768,Bailey's Chocolate Mousse,1
116,52839287946,Chocolate Hazelnut Hunger Shake (Regular),1
117,52557909787,Paneer Butter Masala with Mattar Pulao,1
118,52471089408,Makai Masala Rice Bowl,1
119,50775345135,Brownie Surprise,1
120,49749872968,"Corn & Peas Sub (15 cms, 6 Inch)",1
121,49749872968,"Corn & Peas Sub (15 cms, 6 Inch)",1
122,49749872968,"Paneer Tikka Sub (15 cms, 6 Inch)",1
123,49315198865,Chocolate Lovers,1
124,49315198865,Swiss Choco Brownie,1
125,49298321465,Paneer Biryani,1
126,49298321465,Gobi Manchurian,1
127,48342768684,Kitkat Oreo Shake [300 ml],1
128,48342768684,Berry Blast Shake [300 ml],1
129,48093468935,Paneer & corn Pasta,1
130,46946088452,Paneer Pulao with Kadhi,1
131,46946088452,Gobi Manchurian,1
132,46709238766,Tawa Ghee Phulka,1
133,46709238766,Mattar Paneer,1
134,46709238766,Punjabi Chaach Di-Bottle (Butter Milk),1
135,46709238766,Cheese Garlic Kulcha,1
136,45580335390,Belgian Chocolate - Dark,1
137,45329093270,Peas Pulao ,1
138,45329093270,Mixed Veg Raita,1
139,45046337544,Paneer Tikka Masala,1
140,45046337544,Roti,1
141,45046337544,Naan,1
142,44294169925,Cookies & Cream,1
143,44281184062,Cheese corn Wrap,1
144,43878488152,Butterscotch Ice cream,1
145,43878488152,Swiss Chocolate Ice cream,1
146,43878488152,Oreo Cream and Fudge,1
147,43875533945,Gobi Manchurian (Dry),1
148,43875533945,Paneer Fried Rice,1
149,43875533945,Chicken Fried Rice,0
150,43875533945,Dragon Chicken,0
151,41434653260,Classic Corn (Personal),1
152,41434653260,Garlic Breadsticks,1
153,40720888087,Punjabi Thali (Limited),1
154,38930061426,Fajita Veggies Quesadilla,1
155,38930061426,Cheesy Double Decker Taco Veg,1
156,37720646109,Chocodilla,1
157,37720646109,Cheesy Double Decker Taco Veg,1
158,29854675649,Cheese corn Wrap,1
159,29854675649,Paneer & corn Pasta,1
160,27788088847,Cheese corn Wrap,1
161,27788088847,Trimasu Shake,1
162,26146797097,Phulka Chapati,1
163,26146797097,Daily Special Side Dish (Portion),1
164,22941287885,Idli (2 Pcs),1
165,22941287885,Chapathi Korma,1
166,22512634359,Paneer Pulao with Raita,1
167,22512535762,Idli (2 Pcs),1
168,22512535762,Poori Masala,1
169,21823031245,Poori Masala,1
170,21823031245,Uttapam,1
171,20698577867,Crunchy Chicken,0
172,20698577867,Paneer & corn Pasta,1
173,19986548494,Mango Blast Thick Shake,1
174,19578602443,Cheesy Rice Bowl - Veg,1
175,19578602443,"Mexican McAlooTikki Burger         	",1
176,19578602443,"McEgg Meal ( R )	",0
177,19405811984,Veg Pulao with Raita,1
178,19405811984,Rasmalai,1
179,1181693164,Tawa Paneer Frankie,1
180,1181693164,Schezwan Paneer Frankie,1
181,1177912478,Mexican Fries (Chef Suggested),1
182,1177912478,Maggi Italiano,1
183,1172808867,Bubble Gum Ice cream (95 gms),1
184,1172808867,Butterscotch Bliss Ice cream (95 gms),1
185,1161151700,Golden Corn,1
186,1161151700,Cheesy Dip,1
187,1161151700,Paneer & Onion,1
188,1161151700,Butterscotch Mousse Cake,1
189,1129725726,Triple Choco Chip Thick Shake,1
190,1123341565,Cookie and Cream Milkshake,1
191,1123287736,Veg Pulao + 3 Phulkas + Dal Fry + Mango Drink (200 ml),1
192,1096353194,Cheese Tandoori Veg Pizza Sandwich,1
193,1096353194,Mixed Choco Sandwich,1
